"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 08 16:49:34 GMT 2025","Wed Oct 08 16:49:35 GMT 2025","1558","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 08 16:49:43 GMT 2025","Wed Oct 08 16:49:45 GMT 2025","1777","LMS system","Dashboard","Dashboard","","","Check dashboard displaying",""
"passed","Wed Oct 08 16:49:40 GMT 2025","Wed Oct 08 16:49:43 GMT 2025","2596","LMS system","Courses","Courses","","","Check creating course",""
"passed","Wed Oct 08 16:49:31 GMT 2025","Wed Oct 08 16:49:33 GMT 2025","1859","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 08 16:49:31 GMT 2025","Wed Oct 08 16:49:33 GMT 2025","1864","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 08 16:49:34 GMT 2025","Wed Oct 08 16:49:37 GMT 2025","3063","LMS system","Authentication","Authorization","","","User successful login",""
"passed","Wed Oct 08 16:49:36 GMT 2025","Wed Oct 08 16:49:37 GMT 2025","1921","LMS system","Authentication","Registration","","","User successful registration",""
"passed","Wed Oct 08 16:49:37 GMT 2025","Wed Oct 08 16:49:39 GMT 2025","1481","LMS system","Authentication","Authorization","","","User navigate from Authorization page to Registration page",""
"passed","Wed Oct 08 16:49:41 GMT 2025","Wed Oct 08 16:49:44 GMT 2025","3221","LMS system","Courses","Courses","","","Check creating and editing course",""
"passed","Wed Oct 08 16:49:39 GMT 2025","Wed Oct 08 16:49:41 GMT 2025","1360","LMS system","Courses","Courses","","","Check empty Courses List page",""
